Customer_ID,Signup_Date,Age,Gender,Annual_Income,Spending_Score,Membership_Type,Preferred_Category,Total_Purchases,Total_Spent,Last_Active_Days,Satisfaction_Score,Churn
CUST1001,2024-04-12,63.0,Female,58957,56,Silver,Clothing,15,999.26,148,4.0,0
CUST1002,2025-03-11,27.0,Male,65435,63,Silver,Clothing,13,833.9,168,4.0,1
CUST1003,2024-09-27,32.0,Male,32635,3,Bronze,Electronics,2,86.96,30,3.0,0
CUST1004,2024-04-16,36.0,Female,64841,49,Gold,Home & Kitchen,13,829.56,154,4.0,1
CUST1005,2024-03-12,40.0,Female,56066,55,Silver,Sports & Outdoors,9,575.31,164,4.0,0
CUST1006,2025-12-01,42.0,Female,41657,26,Bronze,Beauty,3,150.09,136,5.0,1
CUST1007,2024-01-21,43.0,Female,33928,99,Gold,Electronics,15,673.8,82,2.0,1
CUST1008,2025-09-06,33.0,Male,68664,72,Gold,Clothing,17,1149.63,169,3.0,1
CUST1009,2024-05-01,43.0,Female,84602,52,Gold,Sports & Outdoors,7,571.45,163,4.0,1
CUST1010,2025-04-11,32.0,Male,57877,100,Premium,Clothing,16,1051.84,9,3.0,0
CUST1011,2024-08-02,41.0,Female,30359,7,Bronze,Home & Kitchen,3,113.36,39,3.0,0
CUST1012,2024-11-26,40.0,Female,35302,46,Silver,Sports & Outdoors,10,451.63,53,3.0,0
CUST1013,2025-04-03,44.0,Female,45332,46,Silver,Beauty,7,385.29,166,4.0,1
CUST1014,2024-03-28,42.0,Non-Binary,100759,100,Premium,Clothing,10,978.54,134,5.0,1
CUST1015,2025-01-07,29.0,Male,48822,16,Silver,Clothing,7,430.22,3,3.0,0
CUST1016,2024-04-09,-5.0,Female,44676,24,Silver,Clothing,5,256.51,142,2.0,1
CUST1017,2025-10-25,42.0,Male,27591,61,Silver,Home & Kitchen,12,442.98,175,2.0,1
CUST1018,2024-05-10,19.0,Female,41438,54,Gold,Clothing,7,324.61,5,1.0,1
CUST1019,2025-10-23,31.0,Male,32907,62,Gold,Electronics,5,238.11,72,4.0,1
CUST1020,2024-11-04,42.0,Female,36075,1,Bronze,Clothing,1,41.53,162,4.0,1
