Date,Ticker,Open,High,Low,Close,Volume,Adj_Close,Return,SMA_20,SMA_50,SMA_200,Volatility,BB_upper,BB_lower,RSI,MACD,Signal,MACD_hist,ATR,Return_lag1,Close_lag1,Return_lag2,Close_lag2,Return_lag3,Close_lag3,Return_lag5,Close_lag5,Return_lag10,Close_lag10,Roll_mean_5,Roll_std_5,Roll_vol_5,Roll_max_5,Roll_min_5,Roll_mean_10,Roll_std_10,Roll_vol_10,Roll_max_10,Roll_min_10,Roll_mean_20,Roll_std_20,Roll_vol_20,Roll_max_20,Roll_min_20,Roll_mean_50,Roll_std_50,Roll_vol_50,Roll_max_50,Roll_min_50,DayOfWeek,Month,Quarter,Price_to_SMA20,Price_to_SMA50,High_Low_Ratio,Close_Open_Ratio,Target_Price,Target_Return
2019-10-08,AAPL,141.4,144.15,139.85,142.0,136259650,142.0,-0.0166885949726472,146.935,141.3196,138.01165,0.1742653788206451,152.3951927862627,141.4748072137373,29.240710801864907,0.342851699867623,1.2679417462050224,-0.9250900463373994,5.030714285714295,0.0012480066560356,144.41,0.0026416405978448,144.23,-0.0128328300850947,143.85,0.0029083858458556,144.83,-0.0221684804514309,145.56,144.04199999999997,1.3409958985773307,0.16141013578121974,145.72,142.0,144.773,1.4350071621975409,0.1671252049891998,147.08,142.0,146.935,2.7300963931313467,0.17426537882064466,151.61,142.0,141.3196,6.189389525137268,0.21388973644865503,151.61,130.84,1,10,4,0.9664137203459597,1.0048146187718843,0.030281690140631902,0.004243281470974194,142.81,0.0057042253521126796
2019-10-09,AAPL,142.27,144.38,141.25,142.81,172461433,142.81,0.0057042253521126,146.495,141.5428,137.96985,0.1710096254191712,151.78457465208663,141.20542534791338,28.039430427571148,0.14957839706687537,1.044269076377393,-0.8946906793105176,4.722142857142864,-0.0166885949726472,142.0,0.0012480066560356,144.41,0.0026416405978448,144.23,0.00614513567631,145.72,-0.0063204176971696,144.64,143.46,1.0248902380259872,0.1597032363492187,144.41,142.0,144.59,1.5646795909146938,0.17014725806603112,147.08,142.0,146.495,2.6447873260433075,0.17100962541917075,150.83,142.0,141.5428,6.032814701653881,0.2140120823022806,151.61,130.84,2,10,4,0.9748455578622148,1.0089527690492985,0.021917232686633138,0.0037955999156266003,144.07,0.008822911560814939
2019-10-10,AAPL,143.35,146.41,141.72,144.07,49051395,144.07,0.0088229115608149,146.21200000000002,141.7766,137.93564999999998,0.1720119362265866,151.3769979874656,141.04700201253442,32.88659791441175,0.09696166812534557,0.8548075947269835,-0.757845926601638,4.5457142857142925,0.0057042253521126,142.81,-0.0166885949726472,142.0,0.0012480066560356,144.41,-0.0128328300850947,143.85,0.0132743362831859,146.56,143.504,1.0502285465559331,0.15811472346970426,144.41,142.0,144.341,1.406472735447937,0.16073630956818885,147.08,142.0,146.21200000000002,2.582498993732794,0.17201193622658612,150.83,142.0,141.7766,5.895422856170932,0.2144396916776164,151.61,130.84,3,10,4,0.9853500396616874,1.016176153180312,0.032553619767942285,0.005022671782315844,146.48,0.01672797945443194
2019-10-11,AAPL,146.52,149.23,143.73,146.48,82312924,146.48,0.0167279794544319,146.16649999999998,142.0846,137.90585,0.1759823711450399,151.30376232642672,141.02923767357325,44.03807612141614,0.2468834711697241,0.7332227700155317,-0.4863392988458076,4.744285714285722,0.0088229115608149,144.07,0.0057042253521126,142.81,-0.0166885949726472,142.0,0.0026416405978448,144.23,0.0035480349344978,147.08,143.954,1.712375542923112,0.19767652682286757,146.48,142.0,144.281,1.2841205377839002,0.18455832419407076,146.48,142.0,146.16649999999998,2.5686311632133747,0.17598237114503942,150.83,142.0,142.0846,5.725000743249342,0.21533280497285234,151.61,130.84,4,10,4,1.0021448142973792,1.0309350907766857,0.03754778809368141,-0.00027300027299854946,148.86,0.01624795193883144
2019-10-14,AAPL,148.97,152.2,145.52,148.86,47685319,148.86,0.0162479519388314,146.184,142.4302,137.8701,0.1836119145736236,151.3571346498289,141.0108653501711,58.665966343417885,0.5513876362766439,0.6968557432677542,-0.14546810699111035,4.900000000000006,0.0167279794544319,146.48,0.0088229115608149,144.07,0.0057042253521126,142.81,0.0012480066560356,144.41,-0.0181533859124287,144.41,144.844,2.8119975106677755,0.21632563579759148,148.86,142.0,144.72600000000003,1.938242044282635,0.17199554616709908,148.86,142.0,146.184,2.5865673249144536,0.18361191457362308,150.83,142.0,142.4302,5.59809278382629,0.21757592900906755,151.61,130.84,0,10,4,1.018305696922931,1.0451435159043156,0.04487437861047362,-0.0007384037054389932,145.86,-0.02015316404675538
2019-10-15,AAPL,145.45,148.45,143.28,145.86,60566908,145.86,-0.0201531640467553,146.074,142.7034,137.8218,0.197145570345711,151.17219121691292,140.9758087830871,52.888257540699136,0.5443594165025729,0.666356477914718,-0.12199706141214506,5.140714285714291,0.0162479519388314,148.86,0.0167279794544319,146.48,0.0088229115608149,144.07,-0.0166885949726472,142.0,0.0029083858458556,144.83,145.616,2.3234306531511124,0.2395354567580169,148.86,142.81,144.829,1.9714656138693705,0.20790012352642806,148.86,142.0,146.074,2.549095608456448,0.19714557034571042,150.83,142.0,142.7034,5.419104757000773,0.22339566468008878,151.61,130.84,1,10,4,0.9985349891082703,1.0221200055428106,0.03544494720941,0.0028188380886710637,143.88,-0.013574660633484337
2019-10-16,AAPL,143.45,146.78,140.97,143.88,55410873,143.88,-0.0135746606334843,145.7825,142.9642,137.7661,0.1970168195081768,150.66757016595596,140.89742983404403,43.67327664724146,0.3747007324459446,0.6080253288209633,-0.23332459637501868,5.147142857142863,-0.0201531640467553,145.86,0.0162479519388314,148.86,0.0167279794544319,146.48,0.0057042253521126,142.81,0.00614513567631,145.72,145.82999999999998,2.031280384388705,0.2748466206175812,148.86,143.88,144.64499999999998,1.9649215421154624,0.21703505536630732,148.86,142.0,145.7825,2.4425350829779777,0.19701681950817618,150.83,142.0,142.9642,5.143276605909839,0.2244498613850949,151.61,132.7,2,10,4,0.9869497367586169,1.0064057994868199,0.040380872949399654,0.002997560125458413,145.04,0.008062274117319967
2019-10-17,AAPL,145.99,146.23,143.85,145.04,131349306,145.04,0.0080622741173199,145.493,143.173,137.69735,0.1973946864835403,149.76657658666628,141.21942341333371,45.32538952178936,0.3300427807497215,0.5524288192067149,-0.22238603845699345,4.8685714285714345,-0.0135746606334843,143.88,-0.0201531640467553,145.86,0.0162479519388314,148.86,0.0088229115608149,144.07,-0.0128328300850947,143.85,146.024,1.8602902999269832,0.2736401650003757,148.86,143.88,144.764,1.9473811474223586,0.2108980997956136,148.86,142.0,145.493,2.136788293333146,0.1973946864835398,150.71,142.0,143.173,5.006894532256929,0.21643953484562845,151.61,132.7,3,10,4,0.9968864481384199,1.0130401681810604,0.016409266409153245,-0.006507295020162407,146.21,0.008066740209597523
2019-10-18,AAPL,147.06,148.29,144.13,146.21,68274392,146.21,0.0080667402095975,145.268,143.3852,137.62495,0.2005232559923836,148.79342405064116,141.74257594935884,54.42913382076735,0.38462651909887313,0.5188683591851466,-0.1342418400862735,4.879285714285719,0.0080622741173199,145.04,-0.0135746606334843,143.88,-0.0201531640467553,145.86,0.0167279794544319,146.48,0.0026416405978448,144.23,145.97,1.8476200908201876,0.24899773747175308,148.86,143.88,144.962,1.9873030300726533,0.21388696976109223,148.86,142.0,145.268,1.7627120253205772,0.2005232559923831,148.86,142.0,143.3852,4.903148193159484,0.21653273593300706,151.61,132.7,4,10,4,1.006484566449552,1.0197007780369265,0.028452226249719884,-0.005779953760330575,147.4,0.00813897818206688
2019-10-21,AAPL,146.83,148.16,146.63,147.4,122655347,147.4,0.0081389781820668,145.195,143.66819999999998,137.5639,0.198977982065676,148.4579434564511,141.9320565435489,56.09293500306772,0.5179371230009338,0.518682111948304,-0.0007449889473702953,4.705714285714287,0.0080667402095975,146.21,0.0080622741173199,145.04,-0.0135746606334843,143.88,0.0162479519388314,148.86,0.0012480066560356,144.41,145.678,1.3154162839201198,0.22008378930919167,147.4,143.88,145.261,2.1158000850747953,0.21648954712098067,148.86,142.0,145.195,1.6314717282255422,0.19897798206567546,148.86,142.0,143.66819999999998,4.710808540159778,0.21259581862873875,151.61,132.7,0,10,4,1.0151864733564162,1.0259751287965886,0.0103799185888034,0.0038820404549214133,156.22,0.059837177747625425
