Date,Ticker,Open,High,Low,Close,Volume,Adj_Close,Return,SMA_20,SMA_50,SMA_200,Volatility,BB_upper,BB_lower,RSI
2019-01-02,AAPL,151.79,152.45,149.89,151.17,87099944,151.17,,,,,,,,
2019-01-03,AAPL,151.87,153.76,148.06,150.91,120641234,150.91,-0.0017199179731427483,,,,,,,
2019-01-04,AAPL,152.58,154.25,150.62,152.44,124510095,152.44,0.01013849314160753,,,,,,,
2019-01-07,AAPL,157.47,159.83,152.19,156.01,63844321,156.01,0.0234190501180791,,,,,,,
2019-01-08,AAPL,154.12,158.29,152.74,155.52,57716306,155.52,-0.003140824306134049,,,,,,,
2019-01-09,AAPL,155.04,158.35,151.7,155.02,82540068,155.02,-0.0032150205761316553,,,,,,,
2019-01-10,AAPL,159.49,160.01,157.58,158.79,112920167,158.79,0.024319442652560808,,,,,,,
2019-01-11,AAPL,161.85,164.26,157.11,160.69,84576021,160.69,0.011965489010643093,,,,,,,
2019-01-14,AAPL,158.59,163.36,155.87,159.61,42573331,159.61,-0.006721015620138049,,,,,,,
2019-01-15,AAPL,161.94,163.34,158.6,160.97,58026329,160.97,0.0085207693753524,,,,,,,
2019-01-16,AAPL,160.08,162.65,157.17,159.91,77667546,159.91,-0.006585077964838204,,,,,,,
2019-01-17,AAPL,158.52,162.07,155.63,158.85,77614975,158.85,-0.006628728659871186,,,,,,,
2019-01-18,AAPL,158.31,160.84,158.13,159.48,176098501,159.48,0.00396600566572225,,,,,,,
2019-01-21,AAPL,156.15,157.35,152.69,155.02,45953566,155.02,-0.02796588913970388,,,,,,,
2019-01-22,AAPL,150.08,153.07,149.15,151.11,97930919,151.11,-0.02522255192878331,,,,,,,49.88272084838324
2019-01-23,AAPL,149.32,151.08,148.71,149.89,145136093,149.89,-0.008073588776388196,,,,,,,48.078372242912664
2019-01-24,AAPL,147.06,149.51,145.86,147.68,198463763,147.68,-0.014744145706851564,,,,,,,41.256429075033424
2019-01-25,AAPL,149.53,149.53,147.49,148.43,68051696,148.43,0.005078548212350986,,,,,,,34.46721309497781
2019-01-28,AAPL,146.98,147.28,145.67,146.47,97377815,146.47,-0.013204877720137453,,,,,,,32.50869731522522
2019-01-29,AAPL,144.3,144.56,142.35,143.45,100477194,143.45,-0.020618556701030966,154.071,,,,164.62183114710575,143.52016885289424,29.623106713112875
2019-01-30,AAPL,145.96,150.25,143.13,146.69,86506480,146.69,0.022586266991983406,153.847,,,0.24232237554229022,164.83819283790436,142.85580716209566,28.28427852132161
2019-01-31,AAPL,146.61,148.58,143.9,146.24,76898667,146.24,-0.0030676937759901435,153.6135,,,0.24239375857075587,165.0565402198753,142.17045978012467,22.6429382689511
2019-02-01,AAPL,146.65,150.0,142.88,146.44,95241597,146.44,0.001367614879649759,153.3135,,,0.2388003494938441,165.19238046293216,141.43461953706785,24.206815497888883
2019-02-04,AAPL,144.35,145.35,141.44,143.39,29053187,143.39,-0.02082764272056825,152.6825,,,0.22798806995873364,165.2774327738955,140.0875672261045,17.707567955624285
2019-02-05,AAPL,143.43,143.87,140.68,142.27,105093920,142.27,-0.007810865471790107,152.01999999999998,,,0.22832701425455457,165.3584619960868,138.68153800391318,17.66862169181229
2019-02-06,AAPL,141.17,144.72,140.4,142.56,84141322,142.56,0.0020383777324803898,151.397,,,0.22943038218171383,165.29757340733218,137.4964265926678,19.275744991706475
2019-02-07,AAPL,140.65,142.1,138.23,140.17,73188380,140.17,-0.016764870931537668,150.46599999999998,,,0.20725447704536223,164.77004491927477,136.1619550807252,15.847187823775684
2019-02-08,AAPL,139.74,142.01,139.74,141.01,181412149,141.01,0.005992723121923449,149.482,,,0.2013356693481194,163.53002080084778,135.43397919915222,21.58215008916224
2019-02-11,AAPL,139.93,142.28,137.3,139.79,61071971,139.79,-0.008651868661797013,148.491,,,0.20148874450163573,162.32546938476116,134.65653061523886,24.225865194027193
2019-02-12,AAPL,138.63,140.52,137.93,139.23,68087676,139.23,-0.0040060090135203286,147.404,,,0.19383867617310513,160.50702399809813,134.30097600190186,24.976525805179733
2019-02-13,AAPL,137.49,140.42,135.62,138.02,177442738,138.02,-0.008690655749479137,146.3095,,,0.19390034129968528,158.6487799841123,133.97022001588772,26.206896533650408
2019-02-14,AAPL,141.54,144.51,139.4,141.96,57351678,141.96,0.028546587451093952,145.465,,,0.2319022168558218,156.4253601554347,134.5046398445653,36.22818218360176
2019-02-15,AAPL,142.32,143.12,140.84,141.98,64198543,141.98,0.0001408847562691662,144.59,,,0.23022194444586894,153.4280469383348,135.7519530616652,39.58236656361234
2019-02-18,AAPL,139.33,140.66,138.92,139.79,75430859,139.79,-0.01542470770531057,143.82850000000002,,,0.2181168746108188,151.41914597486854,136.2378540251315,41.16795364013747
2019-02-19,AAPL,142.23,144.49,138.65,141.57,111980016,141.57,0.012733385792975227,143.3515,,,0.21315445217688944,150.17583810169995,136.52716189830002,36.708203503950365
2019-02-20,AAPL,138.78,141.02,137.08,139.05,86933863,139.05,-0.017800381436744894,142.8095,,,0.2188426440277936,149.15218239785014,136.4668176021499,33.14580401012459
2019-02-21,AAPL,138.33,140.39,138.33,139.53,47702151,139.53,0.0034519956850054268,142.402,,,0.2161299592064713,148.4683510232132,136.33564897678679,34.01203144487879
2019-02-22,AAPL,136.31,138.91,132.16,135.54,64661062,135.54,-0.028596000860030113,141.7575,,,0.2324012768612103,147.86608886280084,135.64891113719915,32.59423501302349
2019-02-25,AAPL,132.34,133.73,132.09,132.91,62745374,132.91,-0.01940386601741184,141.0795,,,0.23651087985785327,147.94853800818512,134.21046199181487,30.54862841115201
2019-02-26,AAPL,133.17,135.87,130.83,133.35,77566700,133.35,0.0033105108720186127,140.5745,,,0.23037667742026746,148.1576932587794,132.9913067412206,30.978934306744875
2019-02-27,AAPL,135.38,138.21,131.55,134.88,94856393,134.88,0.011473565804274388,139.98399999999998,,,0.2166259808339554,147.3995182946942,132.56848170530577,38.67237685047479
2019-02-28,AAPL,134.82,136.59,133.95,135.27,94567033,135.27,0.0028914590747333158,139.4355,,,0.21803062642618473,146.51801063127348,132.3529893687265,37.467248885391214
2019-03-01,AAPL,133.88,136.14,133.88,135.08,39315621,135.08,-0.001404598210985375,138.8675,,,0.21738001030776402,145.3842666344912,132.3507333655088,39.231824391895515
2019-03-04,AAPL,134.18,135.52,133.52,134.52,122437785,134.52,-0.004145691442108412,138.424,,,0.2080566566176147,144.8515407427722,131.99645925722783,39.231824391895515
2019-03-05,AAPL,132.78,133.07,130.16,131.61,88504568,131.61,-0.021632471008028564,137.89100000000002,,,0.21776044100354877,144.73043949688682,131.05156050311322,36.40220617269277
2019-03-06,AAPL,130.61,131.16,129.33,130.24,139189937,130.24,-0.01040954334777,137.275,,,0.21781904187335926,144.5492415050423,130.00075849495772,22.095238080507897
2019-03-07,AAPL,129.83,131.83,126.95,129.39,95555379,129.39,-0.006526412776412971,136.73600000000002,,,0.21310343767086304,144.67426283528715,128.79773716471288,21.163536404201125
2019-03-08,AAPL,131.85,132.32,130.68,131.5,124282328,131.5,0.01630728804389836,136.2605,,,0.22240139753097388,144.25987754157327,128.26112245842674,30.9425287157152
2019-03-11,AAPL,131.43,134.23,130.22,132.23,96413357,132.23,0.005551330798478915,135.8825,,,0.22365693538231785,143.89410441254765,127.87089558745234,27.43961350801186
2019-03-12,AAPL,128.61,132.03,125.61,128.82,137073453,128.82,-0.02578839900173935,135.362,144.329,,0.23825614834145273,143.799227282142,126.924772717858,26.308476129304353
2019-03-13,AAPL,130.14,132.25,126.73,129.49,98585765,129.49,0.005201055736687055,134.9355,143.8954,,0.23955079590001274,143.66433539588274,126.20666460411724,26.951331479462027
2019-03-14,AAPL,127.76,131.02,126.56,128.79,76927278,128.79,-0.005405822843462915,134.277,143.453,,0.20839609290007793,142.75813473043456,125.79586526956541,31.746890186887228
2019-03-15,AAPL,126.96,128.95,126.11,127.53,198541971,127.53,-0.009783368273934223,133.5545,142.9548,,0.2082692975671151,141.72906253456858,125.37993746543138,34.28738314953142
2019-03-18,AAPL,128.17,131.0,126.5,128.75,114164624,128.75,0.009566376538853616,133.0025,142.4096,,0.21098278047293592,140.8901208807148,125.1148791192852,37.15083795977035
2019-03-19,AAPL,130.62,132.83,128.77,130.8,100637444,130.8,0.015922330097087434,132.464,141.9152,,0.21461382277586608,139.28761965991296,125.64038034008703,38.9250814036401
2019-03-20,AAPL,133.96,134.48,130.89,132.68,48014587,132.68,0.0143730886850153,132.1455,141.4684,,0.21726782904476008,138.22931623654037,126.06168376345961,43.495730757963834
2019-03-21,AAPL,129.93,132.07,129.93,131.07,47784608,131.07,-0.012134458848357066,131.7225,140.91400000000002,,0.2188786207849811,136.72477685001564,126.72022314998435,40.600093738002734
2019-03-22,AAPL,130.55,133.47,127.54,130.51,89937305,130.51,-0.004272526131074983,131.471,140.3104,,0.1971496803292095,136.16119088378156,126.78080911621845,40.600093738002734
2019-03-25,AAPL,130.36,133.04,129.36,131.2,84794875,131.2,0.005286951191479483,131.3855,139.7422,,0.1871625166109111,136.0273348232469,126.74366517675311,48.92726317713329
2019-03-26,AAPL,134.43,134.43,131.99,133.18,62575736,133.18,0.015091463414634188,131.377,139.1864,,0.19492223962192898,136.0042879404898,126.74971205951022,57.45436101397759
2019-03-27,AAPL,131.25,133.9,130.64,132.27,84641078,132.27,-0.006832857786454372,131.2465,138.6336,,0.19144083738211268,135.59674149359816,126.89625850640184,57.280080849245685
2019-03-28,AAPL,131.69,133.7,130.19,131.95,151029835,131.95,-0.0024192938686022902,131.0805,138.0956,,0.1909707442658425,135.01809464380716,127.14290535619284,51.25069479057752
