Date,Ticker,Open,High,Low,Close,Volume,Adj_Close,Return,SMA_20,SMA_50,SMA_200,Volatility,BB_upper,BB_lower,RSI
2019-01-02,MSFT,288.72,292.79,279.32,286.05,19020615,286.05,,,,,,,,
2019-01-03,MSFT,288.62,288.82,284.87,286.84,38952602,286.84,0.0027617549379477246,,,,,,,
2019-01-04,MSFT,280.86,281.86,274.95,278.41,44176006,278.41,-0.029389206526286293,,,,,,,
2019-01-07,MSFT,278.39,285.78,275.03,280.41,23701058,280.41,0.007183650012571485,,,,,,,
2019-01-08,MSFT,280.7,285.82,280.43,283.12,14357609,283.12,0.009664419956492143,,,,,,,
2019-01-09,MSFT,286.55,291.41,281.03,286.22,20273985,286.22,0.010949420740322235,,,,,,,
2019-01-10,MSFT,283.56,287.11,282.4,284.75,23226186,284.75,-0.005135909440290742,,,,,,,
2019-01-11,MSFT,287.98,287.98,284.35,286.1,30602795,286.1,0.004741000877963142,,,,,,,
2019-01-14,MSFT,292.99,294.15,289.82,291.98,16704372,291.98,0.020552254456483787,,,,,,,
2019-01-15,MSFT,300.74,304.97,290.91,297.94,18379040,297.94,0.020412357010754167,,,,,,,
2019-01-16,MSFT,296.48,302.71,293.16,297.94,30665746,297.94,0.0,,,,,,,
2019-01-17,MSFT,298.55,304.89,292.39,298.64,36395289,298.64,0.0023494663355037027,,,,,,,
2019-01-18,MSFT,303.45,306.98,299.91,303.44,19496563,303.44,0.016072863648540103,,,,,,,
2019-01-21,MSFT,295.7,302.26,292.24,297.25,14666837,297.25,-0.020399419984181377,,,,,,,
2019-01-22,MSFT,296.56,300.44,291.62,296.03,92992896,296.03,-0.004104289318755394,,,,,,,61.188340787967746
2019-01-23,MSFT,301.4,308.95,294.52,301.74,34199038,301.74,0.01928858561632274,,,,,,,65.04442647595677
2019-01-24,MSFT,305.68,312.11,299.9,306.01,22467601,306.01,0.014151256048253513,,,,,,,80.42328039845833
2019-01-25,MSFT,306.87,313.75,301.68,307.72,35392089,307.72,0.005588052678017208,,,,,,,80.29731526238817
2019-01-28,MSFT,298.51,303.21,298.51,301.42,23785904,301.42,-0.020473157415832666,,,,,,,68.80394572619693
2019-01-29,MSFT,301.46,306.15,296.51,301.33,35365564,301.33,-0.00029858668966897817,293.66700000000003,,,,311.60541757968525,275.7285824203148,66.54983568605252
2019-01-30,MSFT,297.99,303.26,294.69,298.97,26645841,298.97,-0.00783194504363971,294.313,,,0.22149387923766953,312.0255838110412,276.6004161889588,65.27718090000258
2019-01-31,MSFT,297.49,307.56,293.4,300.48,25929584,300.48,0.005050673980666831,294.995,,,0.22170551945648678,312.54569589263605,277.44430410736396,65.39614559067351
2019-02-01,MSFT,296.07,300.23,294.2,297.22,23889596,297.22,-0.010849307774227879,295.9355,,,0.19452864563144737,311.6656286172679,280.2053713827321,55.94373863921932
2019-02-04,MSFT,291.8,296.14,290.05,293.1,14012128,293.1,-0.013861785882511302,296.57000000000005,,,0.20317338864635148,310.59458442953144,282.54541557046866,44.270833318660266
2019-02-05,MSFT,284.25,288.63,281.09,284.86,54277717,284.86,-0.028113271920846117,296.65700000000004,,,0.22776071319720345,310.3478945538344,282.96610544616567,37.04437399923495
2019-02-06,MSFT,287.76,292.75,287.03,289.89,17154529,289.89,0.01765779681246915,296.8405,,,0.23306316724630466,310.0316509014667,283.6493490985333,42.0178799381819
2019-02-07,MSFT,288.43,290.58,286.2,288.39,14510411,288.39,-0.005174376487633192,297.0225,,,0.2330760693704188,309.5973200782358,284.4476799217642,35.39118616782224
2019-02-08,MSFT,290.25,295.54,282.74,289.14,22959501,289.14,0.002600644959950049,297.1745,,,0.2327120488071257,309.25728196443197,285.0917180355681,41.1981766751297
2019-02-11,MSFT,290.0,293.92,284.57,289.25,17018263,289.25,0.00038043854188285486,297.038,,,0.22050456361484194,309.4257012012978,284.65029879870224,42.45996439958991
2019-02-12,MSFT,286.8,291.41,278.73,285.07,24488183,285.07,-0.014451166810717342,296.3945,,,0.21144848735920366,309.8739150661784,282.91508493382156,30.80819708884836
2019-02-13,MSFT,279.93,286.26,274.14,280.2,32916740,280.2,-0.017083523345143292,295.5075,,,0.21777655869428644,310.7748533707506,280.2401466292494,20.690438330918354
2019-02-14,MSFT,276.5,279.34,273.46,276.4,37225610,276.4,-0.013561741613133504,294.3955,,,0.21993005921378184,311.79326449644276,276.9977355035573,16.04509973493856
2019-02-15,MSFT,275.42,278.09,269.36,273.72,34631653,273.72,-0.009696092619391972,292.9095,,,0.20777874448187367,312.04475209218776,273.7742479078122,17.411764700146676
2019-02-18,MSFT,274.84,277.08,273.41,275.24,22123115,275.24,0.005553119976618337,291.809,,,0.20272604250418505,312.3716087839067,271.24639121609334,20.305030724236914
2019-02-19,MSFT,273.4,278.65,265.96,272.3,25500869,272.3,-0.010681586978636859,290.62250000000006,,,0.20421252032013437,312.83216017892113,268.412839821079,20.040440344179544
2019-02-20,MSFT,278.79,282.81,275.5,279.16,29430379,279.16,0.025192802056555275,289.49350000000004,,,0.21401756907123184,311.61909867759744,267.36790132240264,28.620136373833077
2019-02-21,MSFT,282.85,286.96,279.66,283.31,12376021,283.31,0.014866026651382702,288.3585,,,0.21482603193100522,309.2088512781211,267.5081487218789,36.29556649245044
2019-02-22,MSFT,288.14,289.82,283.48,286.65,31409478,286.65,0.011789206169919852,287.305,,,0.21948197534047623,306.0602406711183,268.5497593288817,43.546127664405674
2019-02-25,MSFT,284.43,290.36,282.22,286.29,13956650,286.29,-0.0012558869701725373,286.5485,,,0.21011286960037903,304.0876691275328,269.00933087246716,51.69874077634161
2019-02-26,MSFT,291.59,295.47,289.6,292.54,56543738,292.54,0.02183101051381464,286.10900000000004,,,0.22716371135218558,302.49094628884245,269.7270537111576,53.059339627272486
2019-02-27,MSFT,290.15,295.41,288.12,291.76,21265154,291.76,-0.0026663020441649588,285.7485,,,0.22595520485736761,301.23144854959685,270.2655514504031,53.95632775873707
2019-02-28,MSFT,290.93,297.88,285.63,291.75,23217951,291.75,-3.427474636685801e-05,285.312,,,0.2248304327117809,299.48289916546884,271.1411008345312,53.11827955212295
2019-03-01,MSFT,290.99,298.91,286.22,292.57,18375035,292.57,0.0028106255355613285,285.0795,,,0.22241372963216066,298.5637231007785,271.5952768992215,53.90037592211924
2019-03-04,MSFT,296.04,298.85,292.3,295.57,19431351,295.57,0.010253956318146074,285.203,,,0.21993809836704806,299.03722468487365,271.3687753151263,62.687288523982104
2019-03-05,MSFT,300.12,302.63,294.05,298.34,62085548,298.34,0.009371722434617702,285.877,,,0.19394649921162996,300.90301267276504,270.850987327235,73.09063133851156
2019-03-06,MSFT,298.18,303.15,289.82,296.48,36416563,296.48,-0.006234497553127105,286.20649999999995,,,0.18742576263953756,301.8781845230327,270.5348154769672,76.88805567551083
