Date,Ticker,Open,High,Low,Close,Volume,Adj_Close
2019-01-02,AAPL,151.79,152.45,149.89,151.17,87099944,151.17
2019-01-03,AAPL,151.87,153.76,148.06,150.91,120641234,150.91
2019-01-04,AAPL,152.58,154.25,150.62,152.44,124510095,152.44
2019-01-07,AAPL,157.47,159.83,152.19,156.01,63844321,156.01
2019-01-08,AAPL,154.12,158.29,152.74,155.52,57716306,155.52
2019-01-09,AAPL,155.04,158.35,151.7,155.02,82540068,155.02
2019-01-10,AAPL,159.49,160.01,157.58,158.79,112920167,158.79
2019-01-11,AAPL,161.85,164.26,157.11,160.69,84576021,160.69
2019-01-14,AAPL,158.59,163.36,155.87,159.61,42573331,159.61
2019-01-15,AAPL,161.94,163.34,158.6,160.97,58026329,160.97
2019-01-16,AAPL,160.08,162.65,157.17,159.91,77667546,159.91
2019-01-17,AAPL,158.52,162.07,155.63,158.85,77614975,158.85
2019-01-18,AAPL,158.31,160.84,158.13,159.48,176098501,159.48
2019-01-21,AAPL,156.15,157.35,152.69,155.02,45953566,155.02
2019-01-22,AAPL,150.08,153.07,149.15,151.11,97930919,151.11
2019-01-23,AAPL,149.32,151.08,148.71,149.89,145136093,149.89
2019-01-24,AAPL,147.06,149.51,145.86,147.68,198463763,147.68
2019-01-25,AAPL,149.53,149.53,147.49,148.43,68051696,148.43
2019-01-28,AAPL,146.98,147.28,145.67,146.47,97377815,146.47
2019-01-29,AAPL,144.3,144.56,142.35,143.45,100477194,143.45
2019-01-30,AAPL,145.96,150.25,143.13,146.69,86506480,146.69
2019-01-31,AAPL,146.61,148.58,143.9,146.24,76898667,146.24
2019-02-01,AAPL,146.65,150.0,142.88,146.44,95241597,146.44
2019-02-04,AAPL,144.35,145.35,141.44,143.39,29053187,143.39
2019-02-05,AAPL,143.43,143.87,140.68,142.27,105093920,142.27
2019-02-06,AAPL,141.17,144.72,140.4,142.56,84141322,142.56
2019-02-07,AAPL,140.65,142.1,138.23,140.17,73188380,140.17
2019-02-08,AAPL,139.74,142.01,139.74,141.01,181412149,141.01
2019-02-11,AAPL,139.93,142.28,137.3,139.79,61071971,139.79
2019-02-12,AAPL,138.63,140.52,137.93,139.23,68087676,139.23
2019-02-13,AAPL,137.49,140.42,135.62,138.02,177442738,138.02
2019-02-14,AAPL,141.54,144.51,139.4,141.96,57351678,141.96
2019-02-15,AAPL,142.32,143.12,140.84,141.98,64198543,141.98
2019-02-18,AAPL,139.33,140.66,138.92,139.79,75430859,139.79
2019-02-19,AAPL,142.23,144.49,138.65,141.57,111980016,141.57
2019-02-20,AAPL,138.78,141.02,137.08,139.05,86933863,139.05
2019-02-21,AAPL,138.33,140.39,138.33,139.53,47702151,139.53
2019-02-22,AAPL,136.31,138.91,132.16,135.54,64661062,135.54
2019-02-25,AAPL,132.34,133.73,132.09,132.91,62745374,132.91
2019-02-26,AAPL,133.17,135.87,130.83,133.35,77566700,133.35
2019-02-27,AAPL,135.38,138.21,131.55,134.88,94856393,134.88
2019-02-28,AAPL,134.82,136.59,133.95,135.27,94567033,135.27
2019-03-01,AAPL,133.88,136.14,133.88,135.08,39315621,135.08
2019-03-04,AAPL,134.18,135.52,133.52,134.52,122437785,134.52
2019-03-05,AAPL,132.78,133.07,130.16,131.61,88504568,131.61
2019-03-06,AAPL,130.61,131.16,129.33,130.24,139189937,130.24
2019-03-07,AAPL,129.83,131.83,126.95,129.39,95555379,129.39
2019-03-08,AAPL,131.85,132.32,130.68,131.5,124282328,131.5
2019-03-11,AAPL,131.43,134.23,130.22,132.23,96413357,132.23
2019-03-12,AAPL,128.61,132.03,125.61,128.82,137073453,128.82
2019-03-13,AAPL,130.14,132.25,126.73,129.49,98585765,129.49
2019-03-14,AAPL,127.76,131.02,126.56,128.79,76927278,128.79
2019-03-15,AAPL,126.96,128.95,126.11,127.53,198541971,127.53
2019-03-18,AAPL,128.17,131.0,126.5,128.75,114164624,128.75
2019-03-19,AAPL,130.62,132.83,128.77,130.8,100637444,130.8
2019-03-20,AAPL,133.96,134.48,130.89,132.68,48014587,132.68
2019-03-21,AAPL,129.93,132.07,129.93,131.07,47784608,131.07
2019-03-22,AAPL,130.55,133.47,127.54,130.51,89937305,130.51
2019-03-25,AAPL,130.36,133.04,129.36,131.2,84794875,131.2
2019-03-26,AAPL,134.43,134.43,131.99,133.18,62575736,133.18
2019-03-27,AAPL,131.25,133.9,130.64,132.27,84641078,132.27
2019-03-28,AAPL,131.69,133.7,130.19,131.95,151029835,131.95
2019-03-29,AAPL,130.44,132.62,127.02,129.82,105655903,129.82
2019-04-01,AAPL,128.08,130.06,125.04,127.55,50684656,127.55
2019-04-02,AAPL,128.96,131.79,126.53,129.16,76510126,129.16
2019-04-03,AAPL,131.46,132.55,131.17,131.86,57976632,131.86
2019-04-04,AAPL,131.49,133.52,130.01,131.76,68507735,131.76
2019-04-05,AAPL,133.18,135.76,131.85,133.81,67801232,133.81
2019-04-08,AAPL,133.79,135.3,133.79,134.58,66086758,134.58
2019-04-09,AAPL,133.28,134.69,131.97,133.33,48422882,133.33
2019-04-10,AAPL,133.48,136.81,131.39,134.1,76017590,134.1
2019-04-11,AAPL,136.69,138.34,136.21,137.27,63929670,137.27
2019-04-12,AAPL,137.68,139.4,135.09,137.25,24785211,137.25
2019-04-15,AAPL,141.87,141.87,139.25,140.55,181856050,140.55
2019-04-16,AAPL,135.46,135.89,134.47,135.18,123659830,135.18
2019-04-17,AAPL,135.75,138.25,135.56,136.91,68820822,136.91
2019-04-18,AAPL,135.97,140.49,133.77,137.13,80604481,137.13
2019-04-19,AAPL,137.8,139.44,133.69,136.56,50067139,136.56
2019-04-22,AAPL,136.24,140.11,133.49,136.8,157640289,136.8
2019-04-23,AAPL,131.74,134.78,130.86,132.82,170876677,132.82
2019-04-24,AAPL,132.69,133.38,131.48,132.43,85174673,132.43
2019-04-25,AAPL,133.52,135.31,131.06,133.19,120474593,133.19
2019-04-26,AAPL,136.62,138.14,134.3,136.22,85810497,136.22
2019-04-29,AAPL,134.58,138.17,132.25,135.21,46868061,135.21
2019-04-30,AAPL,132.33,134.56,132.33,133.63,67849857,133.63
2019-05-01,AAPL,133.9,134.63,130.71,132.67,84335072,132.67
2019-05-02,AAPL,133.88,135.62,133.47,134.55,66700173,134.55
2019-05-03,AAPL,135.74,136.81,133.7,135.26,73300345,135.26
2019-05-06,AAPL,134.79,136.88,131.58,134.23,77128033,134.23
2019-05-07,AAPL,135.61,137.28,133.35,135.32,77453304,135.32
2019-05-08,AAPL,135.05,137.26,133.86,135.56,81689872,135.56
2019-05-09,AAPL,136.96,139.36,135.82,137.59,52341241,137.59
2019-05-10,AAPL,136.46,138.13,134.26,136.19,60052559,136.19
2019-05-13,AAPL,136.57,138.38,132.77,135.57,47855828,135.57
2019-05-14,AAPL,136.03,137.9,131.74,134.82,118291610,134.82
2019-05-15,AAPL,130.9,135.12,128.76,131.94,34458918,131.94
2019-05-16,AAPL,131.66,135.32,129.82,132.57,126908045,132.57
2019-05-17,AAPL,134.32,134.64,131.63,133.14,139291156,133.14
2019-05-20,AAPL,133.82,135.69,130.69,133.19,70891773,133.19
2019-05-21,AAPL,133.79,134.6,130.94,132.77,28240914,132.77
2019-05-22,AAPL,129.25,131.34,128.71,130.02,69234715,130.02
2019-05-23,AAPL,129.48,132.07,126.43,129.25,77972248,129.25
2019-05-24,AAPL,129.15,129.37,127.89,128.63,53398750,128.63
2019-05-27,AAPL,127.59,130.06,124.21,127.14,65100958,127.14
2019-05-28,AAPL,126.64,128.68,125.07,126.87,147540795,126.87
2019-05-29,AAPL,126.45,129.95,125.42,127.69,104375763,127.69
2019-05-30,AAPL,131.61,133.78,129.0,131.39,55268381,131.39
2019-05-31,AAPL,131.13,134.8,128.76,131.78,42223923,131.78
2019-06-03,AAPL,132.21,134.68,129.99,132.34,70190972,132.34
2019-06-04,AAPL,133.44,134.52,129.95,132.23,73452866,132.23
2019-06-05,AAPL,128.27,129.34,127.71,128.53,97563779,128.53
2019-06-06,AAPL,129.39,130.49,126.54,128.52,64579689,128.52
2019-06-07,AAPL,127.88,129.71,127.65,128.68,98162715,128.68
2019-06-10,AAPL,134.03,136.2,130.93,133.57,173484498,133.57
2019-06-11,AAPL,134.5,135.26,131.2,133.23,110855443,133.23
2019-06-12,AAPL,132.81,136.37,131.38,133.88,78475873,133.88
2019-06-13,AAPL,132.53,134.63,132.53,133.85,74348719,133.85
2019-06-14,AAPL,131.39,132.45,130.69,131.57,69363263,131.57
2019-06-17,AAPL,132.8,136.48,131.3,133.89,128288675,133.89
2019-06-18,AAPL,136.13,136.33,134.58,135.45,62246434,135.45
2019-06-19,AAPL,138.25,138.25,136.24,137.12,81460294,137.12
2019-06-20,AAPL,135.13,136.01,134.6,135.3,81655223,135.3
2019-06-21,AAPL,137.56,141.56,134.89,138.23,65451732,138.23
2019-06-24,AAPL,135.22,138.07,132.72,135.4,46202800,135.4
2019-06-25,AAPL,137.25,138.29,134.99,136.64,91032486,136.64
2019-06-26,AAPL,139.87,142.8,139.71,141.25,78071497,141.25
2019-06-27,AAPL,139.47,140.89,137.55,139.22,97721619,139.22
2019-06-28,AAPL,138.4,140.92,135.26,138.09,64624042,138.09
2019-07-01,AAPL,138.72,140.86,135.82,138.34,130367209,138.34
2019-07-02,AAPL,136.64,138.54,136.15,137.34,56335062,137.34
2019-07-03,AAPL,134.81,135.37,133.09,134.23,158672566,134.23
2019-07-04,AAPL,133.32,135.35,133.32,134.42,39764399,134.42
2019-07-05,AAPL,131.54,134.74,129.93,132.34,95195689,132.34
2019-07-08,AAPL,134.33,136.03,130.62,133.32,96756634,133.32
2019-07-09,AAPL,132.17,132.9,130.19,131.54,58195254,131.54
2019-07-10,AAPL,133.37,135.41,133.37,134.68,94801403,134.68
2019-07-11,AAPL,132.48,134.04,132.27,133.15,133464310,133.15
2019-07-12,AAPL,131.8,135.79,129.33,132.56,32960144,132.56
2019-07-15,AAPL,133.61,135.69,132.77,134.23,97819560,134.23
2019-07-16,AAPL,131.15,134.51,129.13,131.82,29509678,131.82
2019-07-17,AAPL,131.16,134.63,130.0,132.31,54367182,132.31
2019-07-18,AAPL,134.87,136.68,133.27,134.98,153498866,134.98
2019-07-19,AAPL,132.42,133.01,130.61,131.81,63390488,131.81
