Date,Ticker,Open,High,Low,Close,Volume,Adj_Close
2019-01-02,AMZN,3435.69,3448.81,3375.89,3412.35,3186358,3412.35
2019-01-03,AMZN,3408.76,3498.51,3340.65,3419.58,3565665,3419.58
2019-01-04,AMZN,3437.62,3437.62,3376.82,3406.44,11613174,3406.44
2019-01-07,AMZN,3374.45,3457.4,3330.95,3394.18,8466050,3394.18
2019-01-08,AMZN,3501.56,3617.23,3451.17,3534.2,4205742,3534.2
2019-01-09,AMZN,3613.45,3643.31,3530.16,3586.74,3136266,3586.74
2019-01-10,AMZN,3770.15,3835.73,3666.72,3751.22,4191718,3751.22
2019-01-11,AMZN,3698.58,3746.4,3690.64,3718.52,4409781,3718.52
2019-01-14,AMZN,3749.53,3768.77,3658.29,3713.53,2432576,3713.53
2019-01-15,AMZN,3626.39,3677.51,3574.95,3626.23,4130138,3626.23
2019-01-16,AMZN,3606.69,3606.69,3555.99,3574.44,6788677,3574.44
2019-01-17,AMZN,3700.0,3750.92,3648.33,3699.63,1947510,3699.63
2019-01-18,AMZN,3663.65,3711.1,3620.33,3665.71,5567398,3665.71
2019-01-21,AMZN,3791.42,3865.1,3725.46,3795.28,6932451,3795.28
2019-01-22,AMZN,3699.72,3800.2,3623.76,3711.98,3196547,3711.98
2019-01-23,AMZN,3645.4,3667.41,3618.47,3642.94,7877138,3642.94
2019-01-24,AMZN,3617.88,3663.14,3579.49,3621.31,3034842,3621.31
2019-01-25,AMZN,3584.32,3668.06,3567.62,3617.84,4771818,3617.84
2019-01-28,AMZN,3661.52,3731.04,3627.26,3679.15,3538083,3679.15
2019-01-29,AMZN,3688.53,3785.86,3633.78,3709.82,3537767,3709.82
2019-01-30,AMZN,3709.88,3733.89,3631.74,3682.81,3124813,3682.81
2019-01-31,AMZN,3681.94,3695.05,3654.31,3674.68,5289504,3674.68
2019-02-01,AMZN,3673.59,3724.49,3584.15,3654.32,5617105,3654.32
2019-02-04,AMZN,3628.17,3676.93,3513.72,3595.33,3898241,3595.33
2019-02-05,AMZN,3549.18,3593.05,3484.91,3538.98,2321717,3538.98
2019-02-06,AMZN,3640.55,3665.68,3545.81,3605.75,4699999,3605.75
2019-02-07,AMZN,3476.54,3518.5,3460.86,3489.68,4735560,3489.68
2019-02-08,AMZN,3570.89,3627.27,3559.62,3593.44,3667859,3593.44
2019-02-11,AMZN,3565.09,3606.66,3537.34,3572.0,8441726,3572.0
2019-02-12,AMZN,3521.28,3571.3,3475.36,3523.33,2139822,3523.33
2019-02-13,AMZN,3599.47,3655.38,3487.09,3571.23,1647700,3571.23
2019-02-14,AMZN,3673.08,3725.31,3612.06,3668.68,2986076,3668.68
2019-02-15,AMZN,3728.38,3777.04,3710.84,3743.94,5314634,3743.94
2019-02-18,AMZN,3796.96,3817.63,3739.62,3778.62,2622050,3778.62
2019-02-19,AMZN,3854.45,3902.87,3805.13,3854.0,2701766,3854.0
2019-02-20,AMZN,3712.19,3802.72,3672.17,3737.45,5851528,3737.45
