Date,Ticker,Open,High,Low,Close,Volume,Adj_Close
2019-01-02,GOOGL,2755.47,2819.23,2711.39,2765.31,715390,2765.31
2019-01-03,GOOGL,2728.62,2786.71,2661.96,2724.33,1240941,2724.33
2019-01-04,GOOGL,2640.22,2682.43,2640.22,2662.85,778924,2662.85
2019-01-07,GOOGL,2666.51,2708.64,2577.52,2643.08,749278,2643.08
2019-01-08,GOOGL,2633.18,2664.56,2616.04,2640.3,1012928,2640.3
2019-01-09,GOOGL,2673.19,2673.19,2637.43,2651.31,986747,2651.31
2019-01-10,GOOGL,2707.81,2759.89,2625.53,2692.71,967664,2692.71
2019-01-11,GOOGL,2730.12,2745.09,2687.39,2716.24,1446142,2716.24
2019-01-14,GOOGL,2714.48,2758.43,2658.96,2708.7,1238549,2708.7
2019-01-15,GOOGL,2707.7,2723.9,2677.81,2700.85,1069358,2700.85
2019-01-16,GOOGL,2731.25,2768.96,2678.5,2723.73,1291141,2723.73
2019-01-17,GOOGL,2787.67,2844.69,2716.34,2780.51,807114,2780.51
2019-01-18,GOOGL,2789.89,2818.68,2755.12,2786.9,1251612,2786.9
2019-01-21,GOOGL,2793.73,2817.73,2715.89,2766.81,1274510,2766.81
2019-01-22,GOOGL,2736.6,2747.8,2700.09,2723.94,657771,2723.94
2019-01-23,GOOGL,2677.15,2708.99,2615.82,2662.4,1787108,2662.4
2019-01-24,GOOGL,2711.72,2723.24,2660.1,2691.67,843452,2691.67
2019-01-25,GOOGL,2701.96,2742.48,2692.35,2717.42,1244141,2717.42
2019-01-28,GOOGL,2720.55,2774.28,2712.48,2743.38,1911878,2743.38
2019-01-29,GOOGL,2737.55,2761.97,2715.0,2738.49,1737751,2738.49
2019-01-30,GOOGL,2802.38,2866.14,2737.05,2801.59,1216593,2801.59
2019-01-31,GOOGL,2799.04,2816.72,2744.74,2780.73,1038027,2780.73
2019-02-01,GOOGL,2821.15,2852.3,2796.35,2824.33,1752995,2824.33
2019-02-04,GOOGL,2827.35,2862.78,2783.91,2823.34,1571765,2823.34
2019-02-05,GOOGL,2798.27,2828.67,2764.84,2796.76,937044,2796.76
2019-02-06,GOOGL,2798.08,2880.33,2768.0,2824.17,873160,2824.17
2019-02-07,GOOGL,2850.06,2912.96,2774.06,2843.51,523813,2843.51
2019-02-08,GOOGL,2879.34,2899.94,2821.21,2860.58,1276260,2860.58
2019-02-11,GOOGL,2845.45,2928.74,2801.41,2865.08,1160954,2865.08
2019-02-12,GOOGL,2869.52,2910.85,2817.39,2864.12,1890418,2864.12
2019-02-13,GOOGL,2982.07,3000.74,2952.25,2976.5,1385337,2976.5
2019-02-14,GOOGL,3013.88,3091.34,2977.18,3034.26,2046258,3034.26
2019-02-15,GOOGL,3047.27,3117.27,3023.51,3070.39,907897,3070.39
2019-02-18,GOOGL,3106.26,3132.14,3021.31,3076.72,1891900,3076.72
2019-02-19,GOOGL,3120.91,3198.84,3056.27,3127.56,971178,3127.56
2019-02-20,GOOGL,3137.25,3198.0,3110.88,3154.44,1637809,3154.44
2019-02-21,GOOGL,3135.87,3229.3,3083.95,3156.62,669528,3156.62
2019-02-22,GOOGL,3152.72,3205.07,3079.3,3142.18,1318343,3142.18
2019-02-25,GOOGL,3145.84,3185.34,3092.6,3138.97,542507,3138.97
2019-02-26,GOOGL,2993.09,3035.45,2933.6,2984.52,1078387,2984.52
2019-02-27,GOOGL,2970.73,3029.89,2960.93,2995.41,1431128,2995.41
2019-02-28,GOOGL,2996.3,3046.25,2899.55,2972.9,974270,2972.9
2019-03-01,GOOGL,3043.71,3106.43,2994.5,3050.46,788318,3050.46
2019-03-04,GOOGL,3040.84,3070.17,3034.3,3052.24,1683321,3052.24
2019-03-05,GOOGL,2993.28,3030.08,2960.99,2995.54,1151351,2995.54
2019-03-06,GOOGL,2987.38,3046.25,2941.67,2993.96,986584,2993.96
2019-03-07,GOOGL,2966.48,2966.48,2927.02,2945.07,1220279,2945.07
2019-03-08,GOOGL,2993.75,2993.75,2952.01,2968.27,3445224,2968.27
2019-03-11,GOOGL,2971.2,3024.69,2941.16,2982.93,1903554,2982.93
2019-03-12,GOOGL,3051.87,3065.13,2994.51,3029.82,1910473,3029.82
2019-03-13,GOOGL,3009.38,3033.73,2951.34,2992.53,1428378,2992.53
2019-03-14,GOOGL,3020.78,3025.69,2964.27,2994.98,1282633,2994.98
2019-03-15,GOOGL,2916.17,2955.38,2906.76,2931.07,460192,2931.07
2019-03-18,GOOGL,2969.52,3020.65,2909.27,2964.96,914598,2964.96
2019-03-19,GOOGL,2977.01,3036.22,2944.76,2990.49,990140,2990.49
2019-03-20,GOOGL,3034.67,3042.27,2987.98,3015.13,566864,3015.13
2019-03-21,GOOGL,2986.19,3050.39,2981.67,3016.03,755296,3016.03
2019-03-22,GOOGL,3040.87,3088.07,2985.81,3036.94,543343,3036.94
2019-03-25,GOOGL,3106.73,3136.83,3096.66,3116.75,1181744,3116.75
2019-03-26,GOOGL,3092.4,3128.08,3078.74,3103.41,1665004,3103.41
