Date,Ticker,Open,High,Low,Close,Volume,Adj_Close
2019-01-02,MSFT,288.72,292.79,279.32,286.05,19020615,286.05
2019-01-03,MSFT,288.62,288.82,284.87,286.84,38952602,286.84
2019-01-04,MSFT,280.86,281.86,274.95,278.41,44176006,278.41
2019-01-07,MSFT,278.39,285.78,275.03,280.41,23701058,280.41
2019-01-08,MSFT,280.7,285.82,280.43,283.12,14357609,283.12
2019-01-09,MSFT,286.55,291.41,281.03,286.22,20273985,286.22
2019-01-10,MSFT,283.56,287.11,282.4,284.75,23226186,284.75
2019-01-11,MSFT,287.98,287.98,284.35,286.1,30602795,286.1
2019-01-14,MSFT,292.99,294.15,289.82,291.98,16704372,291.98
2019-01-15,MSFT,300.74,304.97,290.91,297.94,18379040,297.94
2019-01-16,MSFT,296.48,302.71,293.16,297.94,30665746,297.94
2019-01-17,MSFT,298.55,304.89,292.39,298.64,36395289,298.64
2019-01-18,MSFT,303.45,306.98,299.91,303.44,19496563,303.44
2019-01-21,MSFT,295.7,302.26,292.24,297.25,14666837,297.25
2019-01-22,MSFT,296.56,300.44,291.62,296.03,92992896,296.03
2019-01-23,MSFT,301.4,308.95,294.52,301.74,34199038,301.74
2019-01-24,MSFT,305.68,312.11,299.9,306.01,22467601,306.01
2019-01-25,MSFT,306.87,313.75,301.68,307.72,35392089,307.72
2019-01-28,MSFT,298.51,303.21,298.51,301.42,23785904,301.42
2019-01-29,MSFT,301.46,306.15,296.51,301.33,35365564,301.33
2019-01-30,MSFT,297.99,303.26,294.69,298.97,26645841,298.97
2019-01-31,MSFT,297.49,307.56,293.4,300.48,25929584,300.48
2019-02-01,MSFT,296.07,300.23,294.2,297.22,23889596,297.22
2019-02-04,MSFT,291.8,296.14,290.05,293.1,14012128,293.1
2019-02-05,MSFT,284.25,288.63,281.09,284.86,54277717,284.86
2019-02-06,MSFT,287.76,292.75,287.03,289.89,17154529,289.89
2019-02-07,MSFT,288.43,290.58,286.2,288.39,14510411,288.39
2019-02-08,MSFT,290.25,295.54,282.74,289.14,22959501,289.14
2019-02-11,MSFT,290.0,293.92,284.57,289.25,17018263,289.25
2019-02-12,MSFT,286.8,291.41,278.73,285.07,24488183,285.07
2019-02-13,MSFT,279.93,286.26,274.14,280.2,32916740,280.2
2019-02-14,MSFT,276.5,279.34,273.46,276.4,37225610,276.4
2019-02-15,MSFT,275.42,278.09,269.36,273.72,34631653,273.72
2019-02-18,MSFT,274.84,277.08,273.41,275.24,22123115,275.24
2019-02-19,MSFT,273.4,278.65,265.96,272.3,25500869,272.3
2019-02-20,MSFT,278.79,282.81,275.5,279.16,29430379,279.16
2019-02-21,MSFT,282.85,286.96,279.66,283.31,12376021,283.31
2019-02-22,MSFT,288.14,289.82,283.48,286.65,31409478,286.65
2019-02-25,MSFT,284.43,290.36,282.22,286.29,13956650,286.29
2019-02-26,MSFT,291.59,295.47,289.6,292.54,56543738,292.54
2019-02-27,MSFT,290.15,295.41,288.12,291.76,21265154,291.76
2019-02-28,MSFT,290.93,297.88,285.63,291.75,23217951,291.75
2019-03-01,MSFT,290.99,298.91,286.22,292.57,18375035,292.57
2019-03-04,MSFT,296.04,298.85,292.3,295.57,19431351,295.57
2019-03-05,MSFT,300.12,302.63,294.05,298.34,62085548,298.34
2019-03-06,MSFT,298.18,303.15,289.82,296.48,36416563,296.48
2019-03-07,MSFT,293.6,296.18,292.61,294.4,13452902,294.4
2019-03-08,MSFT,300.07,303.94,290.4,297.17,45629798,297.17
2019-03-11,MSFT,300.84,303.09,297.46,300.28,40292797,300.28
2019-03-12,MSFT,298.15,304.3,293.2,298.75,22340269,298.75
2019-03-13,MSFT,294.26,297.17,287.43,292.3,28263030,292.3
2019-03-14,MSFT,292.91,296.25,286.89,291.57,24851004,291.57
2019-03-15,MSFT,295.71,300.77,287.72,294.25,55031612,294.25
2019-03-18,MSFT,300.06,304.02,299.78,301.9,18180684,301.9
2019-03-19,MSFT,296.81,300.54,293.45,297.0,26503586,297.0
2019-03-20,MSFT,297.48,300.0,290.69,295.35,21065101,295.35
2019-03-21,MSFT,293.88,300.1,287.62,293.86,14092738,293.86
2019-03-22,MSFT,300.71,302.41,296.82,299.61,60071236,299.61
2019-03-25,MSFT,300.11,305.89,293.28,299.58,15584069,299.58
2019-03-26,MSFT,297.95,299.77,292.08,295.92,27301113,295.92
2019-03-27,MSFT,297.08,300.99,295.75,298.37,12460898,298.37
2019-03-28,MSFT,297.25,302.79,290.81,296.8,21311516,296.8
2019-03-29,MSFT,289.67,293.86,289.67,291.87,29596714,291.87
2019-04-01,MSFT,289.46,292.77,283.95,288.36,17975005,288.36
2019-04-02,MSFT,296.94,297.42,293.71,295.57,31613889,295.57
2019-04-03,MSFT,294.56,300.89,293.68,297.28,22449298,297.28
2019-04-04,MSFT,298.9,302.92,292.78,297.85,39761886,297.85
2019-04-05,MSFT,296.42,301.72,292.14,296.93,43102465,296.93
2019-04-08,MSFT,296.02,302.17,294.36,298.27,19770242,298.27
2019-04-09,MSFT,299.08,303.63,295.49,299.56,25779225,299.56
2019-04-10,MSFT,299.07,303.78,298.04,300.91,26903530,300.91
2019-04-11,MSFT,301.0,305.77,297.26,301.51,32028160,301.51
2019-04-12,MSFT,304.62,312.67,297.98,305.33,25144234,305.33
2019-04-15,MSFT,307.0,312.27,298.82,305.55,26976340,305.55
2019-04-16,MSFT,303.17,303.9,299.13,301.51,22680674,301.51
2019-04-17,MSFT,299.7,300.73,297.39,299.06,26179371,299.06
